source_name,region,city,category,ownership,registration_type,annual_visitors,collection_count,exhibition_area_sqm,official_scale_score,data_confidence,source_reference_date,source_sheet,source_row,source_url
이한열기념관,서울,마포구,박물관,사립,2종,17760,2302,104.0,42.0,1.0,2025-01-01,박물관,93,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
(재)한국등잔박물관,경기,용인시,박물관,사립,1종,4356,3950,820.0,41.8,1.0,2025-01-01,박물관,430,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
맥아트미술관,경기,안산시,미술관,사립,2종,35000,109,257.0,41.8,1.0,2025-01-01,미술관,157,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
명지대학교박물관,경기,용인시,박물관,대학,1종,2600,5165,963.0,41.7,1.0,2025-01-01,박물관,446,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
부천펄벅기념관,경기,부천시,박물관,공립,1종,12208,373,146.0,41.4,1.0,2025-01-01,박물관,342,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
보름산미술관,경기,김포시,미술관,사립,1종,13400,517,299.0,40.8,1.0,2025-01-01,미술관,161,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
고구려대장간마을,경기,구리시,박물관,공립,2종,12622,648,179.0,40.7,1.0,2025-01-01,박물관,331,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
한향림도자미술관,경기,파주시,미술관,사립,1종,7000,1200,515.28,40.3,1.0,2025-01-01,미술관,185,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
잔아박물관,경기,양평군,박물관,사립,1종,7456,1725,334.0,39.9,1.0,2025-01-01,박물관,414,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
서울여자대학교 박물관,서울,노원구,박물관,대학,1종,3100,4001,409.0,39.8,1.0,2025-01-01,박물관,138,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
숙명여자대학교박물관,서울,용산구,박물관,대학,1종,1969,11240,506.0,39.8,1.0,2025-01-01,박물관,144,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
화정박물관,서울,종로구,박물관,사립,1종,1468,9493,2760.0,39.8,1.0,2025-01-01,박물관,119,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
충현박물관,경기,광명시,박물관,사립,1종,4406,1992,694.0,39.5,1.0,2025-01-01,박물관,422,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
신구대학교 우촌박물관,경기,성남시,박물관,대학,1종,2220,3706,1142.59,39.4,1.0,2025-01-01,박물관,448,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
혜곡최순우기념관,서울,성북구,박물관,사립,2종,12975,2072,82.0,39.3,1.0,2025-01-01,박물관,116,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
일본군'위안부'역사관,경기,광주시,박물관,사립,1종,1911,6000,1320.0,38.9,1.0,2025-01-01,박물관,413,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
